Month,Day,Year,Acceptable Start Hour,Acceptable Start Minute,Optimal Start Hour,Optimal Start Minute,Optimal Stop Hour,Optimal Stop Minute,Acceptable Stop Hour,Acceptable Stop Minute
10,19,2012,5,45,0,0,0,0,5,48
10,20,2012,5,40,0,0,0,0,5,49
10,21,2012,5,37,0,0,0,0,5,50
10,22,2012,5,34,0,0,0,0,5,50
10,23,2012,5,29,0,0,0,0,5,51
10,24,2012,5,26,0,0,0,0,5,52
10,25,2012,5,22,0,0,0,0,5,53
10,26,2012,5,17,0,0,0,0,5,53
10,27,2012,5,14,0,0,0,0,5,55
10,28,2012,5,10,0,0,0,0,5,56
10,29,2012,5,5,0,0,0,0,5,56
10,30,2012,5,2,0,0,0,0,5,57
10,31,2012,4,57,0,0,0,0,5,58
11,1,2012,4,53,0,0,0,0,5,59
11,2,2012,4,50,0,0,0,0,5,59
11,3,2012,4,45,0,0,0,0,6,0
11,4,2012,3,41,0,0,0,0,5,0
11,5,2012,3,39,0,0,0,0,5,1
11,6,2012,3,34,0,0,0,0,5,1
11,7,2012,3,30,0,0,0,0,5,2
11,8,2012,3,27,0,0,0,0,5,3
11,9,2012,3,22,4,35,5,4,5,4
11,10,2012,3,18,4,30,5,4,5,4
11,11,2012,3,15,4,26,5,6,5,6
11,12,2012,3,10,4,23,5,7,5,7
11,13,2012,3,7,4,18,5,8,5,8
11,14,2012,3,3,4,15,5,8,5,8
11,15,2012,2,58,4,11,5,9,5,9
11,16,2012,2,55,4,6,5,10,5,10
11,17,2012,2,51,4,3,5,11,5,11
11,18,2012,2,46,3,59,5,11,5,11
11,19,2012,2,43,3,55,5,11,5,11
11,20,2012,2,40,3,52,5,12,5,12
11,21,2012,2,35,3,48,5,13,5,13
11,22,2012,2,32,3,43,5,13,5,13
11,23,2012,2,27,3,40,5,11,5,14
11,24,2012,2,23,3,36,5,7,5,15
11,25,2012,2,20,4,3,5,2,5,17
11,26,2012,2,15,4,58,4,59,5,18
11,27,2012,2,11,0,0,0,0,5,18
11,28,2012,2,8,0,0,0,0,5,19
11,29,2012,2,3,0,0,0,0,5,20
11,30,2012,2,0,0,0,0,0,5,21
12,1,2012,1,56,0,0,0,0,5,21
12,2,2012,1,51,0,0,0,0,5,22
12,3,2012,1,48,0,0,0,0,5,22
12,4,2012,1,45,0,0,0,0,5,23
12,5,2012,1,40,0,0,0,0,5,23
12,6,2012,1,37,0,0,0,0,5,24
12,7,2012,1,33,0,0,0,0,5,25
12,8,2012,1,28,2,41,4,12,5,23
12,9,2012,1,25,2,36,4,7,5,20
12,10,2012,1,21,2,33,4,3,5,15
12,11,2012,1,16,2,29,4,0,5,11
12,12,2012,1,13,2,24,3,55,5,8
12,13,2012,1,8,2,21,3,52,5,3
12,14,2012,1,4,2,17,3,48,5,0
12,15,2012,1,1,2,12,3,43,4,56
12,16,2012,0,56,2,9,3,40,4,51
12,17,2012,0,52,2,4,3,36,4,48
12,18,2012,0,49,2,1,3,32,4,45
12,19,2012,0,45,1,58,3,29,4,40
12,20,2012,0,41,1,53,3,25,4,37
12,21,2012,0,38,1,49,3,20,4,33
12,22,2012,0,33,1,59,3,17,4,28
12,23,2012,0,30,2,53,3,12,4,25
12,24,2012,0,26,0,0,0,0,4,21
12,25,2012,0,21,0,0,0,0,4,16
12,26,2012,0,18,0,0,0,0,4,13
12,27,2012,0,14,0,0,0,0,4,8
12,28,2012,0,9,0,0,0,0,4,4
12,29,2012,0,6,0,0,0,0,4,1
12,30,2012,0,2,0,0,0,0,3,56
12,30,2012,23,57,0,0,0,0,3,52
1,0,2013,23,54,0,0,0,0,3,50
1,1,2013,23,49,0,0,0,0,3,45
1,2,2013,23,46,0,0,0,0,3,41
1,3,2013,23,43,0,0,0,0,3,38
1,4,2013,23,38,0,0,0,0,3,33
1,5,2013,23,34,0,47,2,18,3,30
1,6,2013,23,31,0,42,2,13,3,26
1,7,2013,23,26,0,39,2,10,3,21
1,8,2013,23,22,0,34,2,6,3,18
1,9,2013,23,19,0,30,2,1,3,14
1,10,2013,23,14,0,27,1,58,3,9
1,11,2013,23,11,0,22,1,53,3,6
1,12,2013,23,7,0,18,1,49,3,2
1,13,2013,23,2,0,15,1,46,2,57
1,14,2013,22,59,0,10,1,41,2,54
1,15,2013,22,55,0,7,1,38,2,51
1,16,2013,22,51,0,4,1,35,2,46
1,17,2013,22,48,23,59,1,30,2,43
1,18,2013,22,44,0,44,1,26,2,38
1,19,2013,22,39,0,0,0,0,2,34
1,20,2013,22,36,0,0,0,0,2,31
1,21,2013,22,32,0,0,0,0,2,26
1,22,2013,22,27,0,0,0,0,2,22
1,23,2013,22,24,0,0,0,0,2,19
1,24,2013,22,19,0,0,0,0,2,14
1,25,2013,22,15,0,0,0,0,2,11
1,26,2013,22,12,0,0,0,0,2,7
1,27,2013,22,7,0,0,0,0,2,2
1,28,2013,22,3,0,0,0,0,1,59
1,29,2013,22,0,0,0,0,0,1,56
1,30,2013,21,55,0,0,0,0,1,51
2,0,2013,21,52,0,0,0,0,1,48
2,1,2013,21,49,23,0,23,27,1,44
2,2,2013,21,44,22,57,0,28,1,39
2,3,2013,21,41,22,52,0,23,1,36
2,4,2013,21,37,22,48,0,19,1,32
2,5,2013,21,32,22,45,0,16,1,27
2,6,2013,21,29,22,40,0,11,1,24
2,7,2013,21,25,22,37,0,7,1,19
2,8,2013,21,20,22,33,0,4,1,15
2,9,2013,21,17,22,28,23,59,1,12
2,10,2013,21,12,22,25,23,56,1,7
2,11,2013,21,8,22,21,23,52,1,3
2,12,2013,21,5,22,16,23,47,1,0
2,13,2013,21,0,22,13,23,45,0,56
2,14,2013,20,56,22,10,23,41,0,52
2,15,2013,20,54,22,5,23,36,0,49
2,16,2013,20,49,0,0,0,0,0,44
2,17,2013,20,45,0,0,0,0,0,41
2,18,2013,20,42,0,0,0,0,0,37
2,19,2013,20,37,0,0,0,0,0,32
2,20,2013,20,33,0,0,0,0,0,29
2,21,2013,20,30,0,0,0,0,0,25
2,22,2013,20,25,0,0,0,0,0,20
2,23,2013,20,22,0,0,0,0,0,17
2,24,2013,20,18,0,0,0,0,0,12
2,25,2013,20,13,0,0,0,0,0,8
2,26,2013,20,10,0,0,0,0,0,5
2,27,2013,20,6,0,0,0,0,0,0
3,0,2013,20,1,21,14,21,20,23,57
3,1,2013,19,59,21,10,22,25,23,54
3,2,2013,19,55,21,7,22,37,23,49
3,3,2013,19,50,21,3,22,34,23,45
